C5,34,12,9.22,2.9117811500050603,28.0,19.960492815635362,0.0,0.0,14.810179789931322,61.35080279511699
C2,32,14,14.04,11.16178115000506,44.0,33.96049281563536,9.0,12.930259517050283,16.810179789931322,126.85080279511699
C4,37,12,9.81,6.41178115000506,27.0,22.960492815635362,0.0,0.0,14.810179789931322,115.85080279511699
C4,36,11,9.81,5.41178115000506,27.0,18.960492815635362,0.0,4.310086505683428,13.810179789931322,85.35080279511699
C5,36,18,10.58,1.6617811500050603,22.5,8.960492815635362,0.0,0.0,7.810179789931321,96.35080279511699
C3,33,17,13.24,9.16178115000506,46.0,33.96049281563536,7.0,0.0,7.810179789931321,102.35080279511699
C3,38,18,14.1,9.91178115000506,40.5,33.46049281563536,6.0,8.620173011366855,15.810179789931322,116.85080279511699
C3,34,19,14.21,6.66178115000506,32.0,24.960492815635362,8.0,12.930259517050283,14.810179789931322,102.35080279511699
C2,38,12,12.84,10.91178115000506,40.0,43.96049281563536,10.0,43.10086505683428,15.810179789931322,124.85080279511699
C1,39,20,14.64,12.91178115000506,47.0,48.96049281563536,10.0,43.10086505683428,17.810179789931322,139.35080279511698
C3,31,21,14.66,6.41178115000506,44.0,41.46049281563536,9.0,12.930259517050283,7.810179789931321,120.35080279511699
C4,36,22,12.44,3.1617811500050603,31.5,23.960492815635362,6.0,8.620173011366855,14.810179789931322,88.85080279511699
C4,37,14,12.92,5.91178115000506,36.0,21.960492815635362,1.5,12.930259517050283,13.810179789931322,101.85080279511699
C2,39,13,10.18,12.66178115000506,41.0,39.96049281563536,10.0,43.10086505683428,7.810179789931321,112.35080279511699
C4,36,21,12.42,3.9117811500050603,40.0,17.460492815635362,6.0,8.620173011366855,14.810179789931322,76.85080279511699
C2,38,19,14.64,11.41178115000506,49.0,45.96049281563536,10.0,43.10086505683428,14.810179789931322,124.35080279511699
C2,34,24,14.99,11.41178115000506,47.0,46.96049281563536,10.0,34.48069204546742,17.810179789931322,130.35080279511698
C2,37,22,14.2,13.41178115000506,47.0,41.96049281563536,10.0,43.10086505683428,17.810179789931322,118.85080279511699
C4,36,17,12.82,8.66178115000506,28.0,17.460492815635362,1.0,0.0,11.810179789931322,90.35080279511699
C2,37,21,14.92,6.41178115000506,44.5,46.96049281563536,9.0,12.930259517050283,17.810179789931322,144.85080279511698
C4,38,14,11.7,4.66178115000506,42.0,23.460492815635362,0.5,8.620173011366855,13.810179789931322,88.35080279511699
C1,36,25,14.53,12.16178115000506,45.0,45.96049281563536,10.0,43.10086505683428,17.810179789931322,141.35080279511698
C5,32,18,10.37,4.16178115000506,23.0,3.960492815635363,0.0,8.620173011366855,14.810179789931322,58.85080279511699
C5,34,15,9.63,1.9117811500050603,34.0,15.460492815635362,0.0,0.0,11.810179789931322,81.35080279511699
